Id,Label,Layer,People,VizSize,Year,Degree,WeightedDegree,InWeight,OutWeight,ConsistencyOK,Level1,Level2,ParentLevel1s,Classification
P::临床医学专项,临床医学专项,培养项目,1286,42.0,overall,1,1286,0,1286,True,,,,
P::智慧土木水利,智慧土木水利,培养项目,327,27.34,overall,1,327,0,327,True,,,,
P::应用复合型法律硕士,应用复合型法律硕士,培养项目,302,26.51,overall,1,302,0,302,True,,,,
P::绿色化工与生物医药先进制造,绿色化工与生物医药先进制造,培养项目,242,24.36,overall,2,242,0,242,True,,,,
P::口腔医学专项,口腔医学专项,培养项目,219,23.46,overall,1,219,0,219,True,,,,
P::中小学学科教学与教育管理,中小学学科教学与教育管理,培养项目,195,22.48,overall,1,195,0,195,True,,,,
P::先进制造,先进制造,培养项目,190,22.27,overall,1,190,0,190,True,,,,
P::公共卫生专硕,公共卫生专硕,培养项目,182,21.92,overall,1,182,0,182,True,,,,
P::高端集成电路芯片设计与制造,高端集成电路芯片设计与制造,培养项目,175,21.61,overall,1,175,0,175,True,,,,
P::空天会聚工程,空天会聚工程,培养项目,161,20.97,overall,2,161,0,161,True,,,,
P::区块链技术与平台,区块链技术与平台,培养项目,154,20.64,overall,1,154,0,154,True,,,,
P::数据科学与工程,数据科学与工程,培养项目,152,20.55,overall,1,152,0,152,True,,,,
P::智慧农业,智慧农业,培养项目,149,20.4,overall,1,149,0,149,True,,,,
P::面向工业智能的机器学习关键技术与平台,面向工业智能的机器学习关键技术与平台,培养项目,147,20.31,overall,1,147,0,147,True,,,,
P::MBA专硕,MBA专硕,培养项目,141,20.01,overall,1,141,0,141,True,,,,
P::MPAcc专硕,MPAcc专硕,培养项目,140,19.96,overall,1,140,0,140,True,,,,
P::iMF专硕,iMF专硕,培养项目,138,19.86,overall,1,138,0,138,True,,,,
P::智能农业工程与食品先进制造,智能农业工程与食品先进制造,培养项目,133,19.61,overall,2,133,0,133,True,,,,
P::生态环境协同治理,生态环境协同治理,培养项目,132,19.56,overall,1,132,0,132,True,,,,
P::新型计算架构与智能系统,新型计算架构与智能系统,培养项目,121,18.98,overall,1,121,0,121,True,,,,
P::国际化智能产品设计与创新创业,国际化智能产品设计与创新创业,培养项目,120,18.93,overall,1,120,0,120,True,,,,
P::全球制造与供应链管理,全球制造与供应链管理,培养项目,116,18.71,overall,1,116,0,116,True,,,,
P::新一代光电融合成像技术与系统,新一代光电融合成像技术与系统,培养项目,116,18.71,overall,1,116,0,116,True,,,,
P::转化药学,转化药学,培养项目,115,18.65,overall,1,115,0,115,True,,,,
P::数字孪生技术与应用,数字孪生技术与应用,培养项目,114,18.6,overall,1,114,0,114,True,,,,
P::数据治理与智能分析技术研究,数据治理与智能分析技术研究,培养项目,113,18.54,overall,1,113,0,113,True,,,,
P::金融基础软件,金融基础软件,培养项目,113,18.54,overall,1,113,0,113,True,,,,
P::智慧建筑与低碳城市,智慧建筑与低碳城市,培养项目,110,18.38,overall,1,110,0,110,True,,,,
P::农作物现代生物育种,农作物现代生物育种,培养项目,107,18.21,overall,1,107,0,107,True,,,,
P::工业母机与智能制造,工业母机与智能制造,培养项目,107,18.21,overall,1,107,0,107,True,,,,
P::农业生物安全,农业生物安全,培养项目,101,17.86,overall,1,101,0,101,True,,,,
P::智慧能源,智慧能源,培养项目,101,17.86,overall,6,101,0,101,True,,,,
P::数字金融,数字金融,培养项目,98,17.68,overall,1,98,0,98,True,,,,
P::心理健康,心理健康,培养项目,96,17.56,overall,1,96,0,96,True,,,,
P::产品服务操作系统关键技术与平台,产品服务操作系统关键技术与平台,培养项目,95,17.5,overall,1,95,0,95,True,,,,
P::氢能、储能与动力过程节能,氢能、储能与动力过程节能,培养项目,95,17.5,overall,1,95,0,95,True,,,,
P::流程工业智能自动化,流程工业智能自动化,培养项目,95,17.5,overall,1,95,0,95,True,,,,
P::数字经济信息融合与泛在智能,数字经济信息融合与泛在智能,培养项目,94,17.44,overall,1,94,0,94,True,,,,
P::产业需求导向的集成系统及其应用,产业需求导向的集成系统及其应用,培养项目,93,17.38,overall,1,93,0,93,True,,,,
P::护理专项,护理专项,培养项目,93,17.38,overall,1,93,0,93,True,,,,
P::平衡建筑理论与工程实践,平衡建筑理论与工程实践,培养项目,91,17.26,overall,3,91,0,91,True,,,,
P::图形基础软件,图形基础软件,培养项目,90,17.19,overall,1,90,0,90,True,,,,
P::高端化学品先进制造,高端化学品先进制造,培养项目,90,17.19,overall,2,90,0,90,True,,,,
P::数据安全与智能安全,数据安全与智能安全,培养项目,89,17.13,overall,1,89,0,89,True,,,,
P::国际传播,国际传播,培养项目,88,17.07,overall,1,88,0,88,True,,,,
P::可再生能源高效利用,可再生能源高效利用,培养项目,87,17.01,overall,1,87,0,87,True,,,,
P::工业软件关键技术与系统,工业软件关键技术与系统,培养项目,87,17.01,overall,1,87,0,87,True,,,,
P::大尺寸半导体单晶材料与芯片,大尺寸半导体单晶材料与芯片,培养项目,78,16.42,overall,2,78,0,78,True,,,,
P::农业资源高效利用与保护,农业资源高效利用与保护,培养项目,77,16.35,overall,1,77,0,77,True,,,,
P::广播电视,广播电视,培养项目,74,16.15,overall,1,74,0,74,True,,,,
P::特种智能机器人,特种智能机器人,培养项目,73,16.08,overall,1,73,0,73,True,,,,
P::人工智能药学,人工智能药学,培养项目,72,16.01,overall,3,72,0,72,True,,,,
P::智能信息感知与控制,智能信息感知与控制,培养项目,71,15.94,overall,1,71,0,71,True,,,,
P::集成电路专项,集成电路专项,培养项目,70,15.87,overall,3,70,0,70,True,,,,
P::AI+X科学计算平台,AI+X科学计算平台,培养项目,69,15.8,overall,1,69,0,69,True,,,,
P::临床药学,临床药学,培养项目,69,15.8,overall,1,69,0,69,True,,,,
P::高端装备电机系统及智能控制,高端装备电机系统及智能控制,培养项目,69,15.8,overall,1,69,0,69,True,,,,
P::光电与纳米新材料及其高性能器件,光电与纳米新材料及其高性能器件,培养项目,68,15.73,overall,1,68,0,68,True,,,,
P::云计算与边缘计算平台软件,云计算与边缘计算平台软件,培养项目,67,15.66,overall,1,67,0,67,True,,,,
P::智能化软件工程,智能化软件工程,培养项目,66,15.59,overall,1,66,0,66,True,,,,
P::数智动保与动物诊疗,数智动保与动物诊疗,培养项目,64,15.44,overall,1,64,0,64,True,,,,
P::科技教育,科技教育,培养项目,64,15.44,overall,1,64,0,64,True,,,,
P::新型城镇化规划设计与建设,新型城镇化规划设计与建设,培养项目,63,15.37,overall,1,63,0,63,True,,,,
P::绿色养殖,绿色养殖,培养项目,62,15.29,overall,1,62,0,62,True,,,,
P::高端装备、智能制造与创新设计,高端装备、智能制造与创新设计,培养项目,62,15.29,overall,2,62,0,62,True,,,,
P::人工智能数字健康,人工智能数字健康,培养项目,60,15.14,overall,1,60,0,60,True,,,,
